SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
BSE,D,1104895,OPTIDX,0,SENSEX50-Nov2026-24450-CE,75.0,SENSEX50 26 NOV 24450 CALL,2026-11-26 15:30:00,24450.0,CE,5.0,M,OPTIDX,,SX50OPT
BSE,D,1104901,OPTIDX,0,FOCIT-Nov2026-40500-CE,45.0,FOCIT 26 NOV 40500 CALL,2026-11-26 15:30:00,40500.0,CE,5.0,M,OPTIDX,,BITOPT
BSE,D,1104910,OPTIDX,0,FOCIT-Nov2026-42800-CE,45.0,FOCIT 26 NOV 42800 CALL,2026-11-26 15:30:00,42800.0,CE,5.0,M,OPTIDX,,BITOPT
BSE,D,1104916,OPTIDX,0,SENSEX-Oct2026-77700-CE,20.0,SENSEX 15 OCT 77700 CALL,2026-10-15 15:30:00,77700.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1104929,OPTIDX,0,SENSEX-Oct2026-80100-PE,20.0,SENSEX 15 OCT 80100 PUT,2026-10-15 15:30:00,80100.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1104937,OPTIDX,0,SENSEX-Oct2026-82400-PE,20.0,SENSEX 15 OCT 82400 PUT,2026-10-15 15:30:00,82400.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1104943,OPTIDX,0,SENSEX-Nov2026-73100-PE,20.0,SENSEX 26 NOV 73100 PUT,2026-11-26 15:30:00,73100.0,PE,5.0,M,OPTIDX,,BSXOPT
BSE,D,1104953,OPTIDX,0,SENSEX-Nov2026-75400-PE,20.0,SENSEX 26 NOV 75400 PUT,2026-11-26 15:30:00,75400.0,PE,5.0,M,OPTIDX,,BSXOPT
BSE,D,1104960,OPTIDX,0,SENSEX-Nov2026-77700-PE,20.0,SENSEX 26 NOV 77700 PUT,2026-11-26 15:30:00,77700.0,PE,5.0,M,OPTIDX,,BSXOPT
BSE,D,1104971,OPTIDX,0,SENSEX50-Nov2026-25300-CE,75.0,SENSEX50 26 NOV 25300 CALL,2026-11-26 15:30:00,25300.0,CE,5.0,M,OPTIDX,,SX50OPT
BSE,D,1104973,OPTIDX,0,BANKEX-Nov2026-65000-CE,30.0,BANKEX 26 NOV 65000 CALL,2026-11-26 15:30:00,65000.0,CE,5.0,M,OPTIDX,,BKXOPT
BSE,D,1104979,OPTIDX,0,BANKEX-Nov2026-67300-CE,30.0,BANKEX 26 NOV 67300 CALL,2026-11-26 15:30:00,67300.0,CE,5.0,M,OPTIDX,,BKXOPT
BSE,D,1104985,OPTIDX,0,BANKEX-Nov2026-69600-CE,30.0,BANKEX 26 NOV 69600 CALL,2026-11-26 15:30:00,69600.0,CE,5.0,M,OPTIDX,,BKXOPT
BSE,D,1104997,OPTIDX,0,FOCIT-Nov2026-38200-PE,45.0,FOCIT 26 NOV 38200 PUT,2026-11-26 15:30:00,38200.0,PE,5.0,M,OPTIDX,,BITOPT
BSE,D,1105009,OPTIDX,0,SENSEX-Nov2026-71700-PE,20.0,SENSEX 26 NOV 71700 PUT,2026-11-26 15:30:00,71700.0,PE,5.0,M,OPTIDX,,BSXOPT
